enseigne,siren,siret,date_creation,nom,adresse,ville,code_postal,code_naf,intitule_naf,categorie_juridique,intitule_categorie_juridique,num_tva
Saint-Gobain,414604645,41460464500021,2015-10-27,SAINT GOBAIN,12 ROUTE DE PITGAM,STEENE,59380,68.20B,Location de terrains et d'autres biens immobiliers,6540,Société civile immobilière ,FR19414604645
EDF,418500930,41850093000031,2024-02-05,ORCHESTRE EDF,22 AVENUE DE WAGRAM,PARIS,75008,90.01Z,Arts du spectacle vivant,9220,Association déclarée ,FR83418500930
OVHCloud,939045431,93904543100011,2024-12-24,OVHCLOUD OCT1,2 RUE KELLERMANN,ROUBAIX,59100,71.12B,"Ingénierie, études techniques",5710,"SAS, société par actions simplifiée",FR31939045431
